timestamp,forex currencies,open,close,high,low,num of trades
2024-10-16,GBP/USD,1.3064,1.29904,1.30772,1.2975,167472
2024-10-17,GBP/USD,1.29903,1.30136,1.30232,1.2973,179702
2024-10-18,GBP/USD,1.30136,1.305,1.3071,1.301,164671
2024-10-20,GBP/USD,1.3053,1.30515,1.30564,1.3046,2147
2024-10-21,GBP/USD,1.30514,1.29818,1.3053,1.2975,161653
2024-10-22,GBP/USD,1.29819,1.29806,1.3015,1.2943,173910
2024-10-23,GBP/USD,1.29804,1.29154,1.2995,1.2906,175715
2024-10-24,GBP/USD,1.29155,1.2972,1.29881,1.291,174932
2024-10-25,GBP/USD,1.29709,1.2958,1.2999,1.2954,161438
2024-10-27,GBP/USD,1.29699,1.2957,1.29699,1.29556,2888
2024-10-28,GBP/USD,1.29567,1.29744,1.30013,1.2938,150956
2024-10-29,GBP/USD,1.29743,1.30108,1.30171,1.2956,179227
2024-10-30,GBP/USD,1.30106,1.2956,1.30433,1.29346,189077
2024-10-31,GBP/USD,1.29579,1.28968,1.29997,1.2843,199662
2024-11-01,GBP/USD,1.28969,1.2926,1.29801,1.27494,173700
2024-11-03,GBP/USD,1.29694,1.29521,1.29694,1.29488,2403
2024-11-04,GBP/USD,1.29522,1.2954,1.2999,1.2933,176350
2024-11-05,GBP/USD,1.29539,1.30416,1.3048,1.29456,166060
2024-11-06,GBP/USD,1.30416,1.28821,1.30428,1.2834,291976
2024-11-07,GBP/USD,1.2882,1.29827,1.30091,1.2874,216138
2024-11-08,GBP/USD,1.29828,1.292,1.2985,1.28828,188503
2024-11-10,GBP/USD,1.29021,1.2915,1.29171,1.29012,1344
2024-11-11,GBP/USD,1.29149,1.28735,1.2926,1.2854,164343
2024-11-12,GBP/USD,1.28732,1.27364,1.2874,1.27188,200969
2024-11-13,GBP/USD,1.27363,1.27068,1.27681,1.2685,201907
2024-11-14,GBP/USD,1.2707,1.26667,1.27202,1.2628,205484
2024-11-15,GBP/USD,1.26668,1.2617,1.26972,1.2595,204093
2024-11-17,GBP/USD,1.26206,1.26189,1.26206,1.26045,1447
2024-11-18,GBP/USD,1.26184,1.2678,1.2687,1.2612,173196
2024-11-19,GBP/USD,1.26784,1.26939,1.2694,1.2611,201043
2024-11-20,GBP/USD,1.26939,1.26554,1.2715,1.2629,187432
2024-11-21,GBP/USD,1.2655,1.25846,1.266,1.2575,194903
2024-11-22,GBP/USD,1.25843,1.2529,1.2595,1.2485,212035
2024-11-25,GBP/USD,1.26006,1.25317,1.2602,1.2528,81170
2024-11-26,GBP/USD,1.25318,1.25732,1.26164,1.25068,224386
